iter	Passed	Remaining
0	16	16395
1	23	11675
2	30	10213
3	38	9476
4	44	8839
5	53	8884
6	61	8677
7	67	8413
8	83	9249
9	90	8993
10	101	9101
11	107	8815
12	117	8953
13	124	8768
14	132	8729
15	139	8590
16	149	8652
17	157	8578
18	164	8491
19	172	8431
20	179	8363
21	186	8310
22	194	8262
23	202	8216
24	211	8244
25	219	8225
26	225	8136
27	233	8095
28	240	8057
29	248	8039
30	258	8072
31	263	7974
32	270	7929
33	279	7941
34	285	7857
35	294	7883
36	300	7833
37	308	7799
38	315	7774
39	323	7756
40	330	7729
41	337	7707
42	347	7733
43	354	7709
44	362	7694
45	369	7661
46	377	7657
47	383	7602
48	391	7604
49	400	7609
50	406	7563
51	417	7617
52	424	7582
53	434	7607
54	441	7582
55	449	7571
56	457	7563
57	463	7523
58	470	7504
59	478	7495
60	484	7454
61	491	7437
62	500	7444
63	506	7407
64	514	7395
65	522	7387
66	528	7365
67	538	7375
68	544	7340
69	551	7329
70	558	7313
71	567	7313
72	573	7285
73	582	7289
74	589	7273
75	596	7257
76	604	7243
77	612	7244
78	619	7218
79	627	7217
80	634	7194
81	641	7181
82	649	7177
83	656	7153
84	665	7160
85	671	7141
86	683	7174
87	699	7248
88	706	7229
89	714	7225
90	722	7212
91	729	7202
92	740	7221
93	747	7208
94	755	7197
95	762	7183
96	771	7178
97	778	7163
98	785	7148
99	794	7152
100	800	7125
101	807	7112
102	817	7119
103	823	7093
104	830	7081
105	840	7087
106	845	7059
107	853	7051
108	862	7046
109	868	7026
110	878	7036
111	883	7007
112	891	6999
113	898	6984
114	905	6969
115	914	6970
116	921	6955
117	927	6932
118	936	6933
119	943	6921
120	950	6903
121	954	6865
122	957	6827
123	961	6790
124	964	6751
125	968	6714
126	971	6678
127	999	6811
128	1003	6774
129	1007	6739
130	1010	6705
131	1014	6671
132	1018	6637
133	1022	6606
134	1026	6574
135	1030	6544
136	1033	6509
137	1037	6479
138	1041	6449
139	1045	6419
140	1049	6391
141	1052	6361
142	1057	6335
143	1061	6312
144	1069	6308
145	1079	6315
146	1084	6295
147	1094	6298
148	1099	6280
149	1108	6280
150	1114	6265
151	1121	6257
152	1128	6250
153	1136	6242
154	1144	6238
155	1151	6232
156	1158	6220
157	1166	6215
158	1173	6209
159	1177	6182
160	1181	6158
161	1185	6132
162	1189	6107
163	1192	6081
164	1196	6054
165	1200	6028
166	1203	6003
167	1207	5978
168	1210	5954
169	1214	5930
170	1218	5904
171	1221	5880
172	1225	5856
173	1228	5832
174	1232	5810
175	1236	5787
176	1240	5765
177	1251	5780
178	1259	5778
179	1264	5761
180	1269	5744
181	1274	5728
182	1279	5711
183	1284	5695
184	1289	5680
185	1294	5663
186	1298	5647
187	1303	5631
188	1308	5615
189	1313	5599
190	1318	5583
191	1322	5567
192	1327	5551
193	1332	5537
194	1337	5521
195	1342	5505
196	1347	5492
197	1352	5477
198	1358	5466
199	1382	5528
200	1393	5538
201	1398	5523
202	1402	5506
203	1406	5489
204	1412	5475
205	1417	5461
206	1424	5455
207	1431	5450
208	1439	5447
209	1447	5446
210	1456	5445
211	1471	5467
212	1474	5449
213	1478	5429
214	1482	5411
215	1486	5393
216	1489	5374
217	1493	5356
218	1496	5338
219	1500	5320
220	1504	5302
221	1508	5285
222	1511	5267
223	1515	5249
224	1518	5231
225	1522	5214
226	1526	5197
227	1535	5199
228	1546	5205
229	1554	5203
230	1561	5199
231	1575	5214
232	1582	5208
233	1589	5204
234	1596	5196
235	1603	5190
236	1610	5184
237	1617	5179
238	1626	5178
239	1633	5172
240	1640	5166
241	1647	5161
242	1655	5157
243	1663	5152
244	1669	5145
245	1676	5139
246	1683	5133
247	1691	5127
248	1697	5121
249	1705	5117
250	1713	5112
251	1720	5107
252	1729	5105
253	1736	5101
254	1744	5096
255	1758	5110
256	1762	5095
257	1766	5079
258	1769	5063
259	1773	5047
260	1777	5032
261	1781	5017
262	1784	5001
263	1788	4985
264	1791	4969
265	1805	4983
266	1817	4989
267	1833	5008
268	1844	5012
269	1866	5046
270	1878	5052
271	1891	5062
272	1904	5071
273	1915	5074
274	1928	5084
275	1939	5088
276	1949	5087
277	1961	5094
278	1972	5098
279	1983	5100
280	1996	5108
281	2007	5111
282	2014	5103
283	2017	5087
284	2021	5071
285	2025	5056
286	2028	5040
287	2032	5025
288	2036	5009
289	2039	4994
290	2043	4978
291	2046	4963
292	2050	4948
293	2054	4932
294	2057	4917
295	2061	4902
296	2064	4886
297	2068	4871
298	2071	4856
299	2075	4841
300	2078	4827
301	2082	4812
302	2085	4798
303	2089	4783
304	2101	4788
305	2111	4788
306	2116	4778
307	2125	4774
308	2133	4770
309	2141	4765
310	2150	4764
311	2157	4758
312	2165	4752
313	2173	4747
314	2183	4748
315	2190	4742
